[17:36:36] [ServerMain/INFO]: Building unoptimized datafixer
[17:36:38] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:36:41] [ServerMain/INFO]: Loaded 7 recipes
[17:36:41] [ServerMain/INFO]: Loaded 1179 advancements
[17:36:42] [Server thread/INFO]: Starting minecraft server version 1.19.2
[17:36:42] [Server thread/INFO]: Loading properties
[17:36:42] [Server thread/INFO]: Default game type: SURVIVAL
[17:36:42] [Server thread/INFO]: Generating keypair
[17:36:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:36:43] [Server thread/INFO]: Using epoll channel type
[17:36:43] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:36:43] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:36:43] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:36:43] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:36:43] [Server thread/INFO]: Preparing level "world"
[17:36:59] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:37:00] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:00] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:00] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:00] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:01] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:02] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:02] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:03] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:03] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:03] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:04] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:05] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:05] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:06] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:06] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[17:37:07] [Worker-Main-10/INFO]: Preparing spawn area: 0%
